business_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
-1xCh7Cocn6IwFzhELyohA,0.04942581430077553,0.08611130714416504,0.238917276263237,0.044639647006988525,0.012420357204973698,0.35755544900894165,0.17150193452835083,0.018888773396611214,,,,,,,,,,,,
-2dlgoN1ass-zmrE5rqHGw,0.15224561095237732,0.28878480195999146,0.40440845489501953,,,,,,,,,,,,,,,,,
-382X_bWhJKPJKP1VfXOmw,0.2812211811542511,0.03810896724462509,0.06307289749383926,0.15795132517814636,0.025061145424842834,0.08131654560565948,0.17553183436393738,0.14181022346019745,0.0281356330960989,,,,,,,,,,,
-3rvpkYkYD_N1IP4hSvD0A,0.3339180052280426,0.09895827621221542,0.10471580177545547,0.017508922144770622,0.23817351460456848,0.10436060279607773,0.06672005355358124,,,,,,,,,,,,,
-40RDS4F54qiGiEQUsZaXA,0.06447355449199677,0.03933456912636757,0.26399117708206177,0.2040197253227234,0.0482022799551487,0.3573915958404541,,,,,,,,,,,,,,
-7H-oXvCxJzuT42ky6Db0g,0.1348806619644165,0.15442459285259247,0.16850708425045013,0.14550158381462097,0.07493384927511215,0.011579549871385098,0.10748469829559326,0.1366037130355835,0.0398436114192009,,,,,,,,,,,
-7PX_FOoCwktlunImRyZdg,0.16917988657951355,0.01233813725411892,0.3483244776725769,0.012038059532642365,0.11022573709487915,0.21919192373752594,0.07400961965322495,0.03137080371379852,,,,,,,,,,,,
-7teXSpi9nqy58WUd-8yfw,0.018655017018318176,0.09526634961366653,0.30193036794662476,0.04757275804877281,0.04832961782813072,0.0489065945148468,0.19843359291553497,0.08183707296848297,0.15298983454704285,,,,,,,,,,,
-8F04F54iDT6VgWPCgybug,0.10643614828586578,0.16435660421848297,0.17833064496517181,0.015588460490107536,0.29386523365974426,0.02615315653383732,0.054261449724435806,0.11206869781017303,0.03630322590470314,,,,,,,,,,,
-8ILwSisSrTzcyy_Z0o9oA,0.017514904960989952,0.05336663872003555,0.22805343568325043,0.011631157249212265,0.17239929735660553,0.022502893581986427,0.011209014803171158,0.24961909651756287,0.16931115090847015,0.04450757056474686,,,,,,,,,,
-ORqiS4L-8pq3dLsUazXTg,0.061361443251371384,0.8714602589607239,0.021757420152425766,0.03453366085886955,,,,,,,,,,,,,,,,
-R2kwt0qMnzwEdAfXPvkXg,0.12630967795848846,0.019677482545375824,0.02912512980401516,0.34385791420936584,0.021206485107541084,0.011160365305840969,0.03134312853217125,0.17257052659988403,0.22983452677726746,,,,,,,,,,,
-ZaQKvtRGQA-4FoUE_1s4w,0.37779077887535095,0.04855498671531677,0.030745651572942734,0.23285691440105438,0.2634259760379791,0.04298847168684006,,,,,,,,,,,,,,
0-kqF27U3eBsSDtlm986Ww,0.04456358402967453,0.29996809363365173,0.0914374366402626,0.013159511610865593,0.3578914701938629,0.18696953356266022,,,,,,,,,,,,,,
00pYR20Rbt8c1r86UNlBJg,0.01832519844174385,0.1585322618484497,0.09229989349842072,0.05877455696463585,0.030260905623435974,0.01125005166977644,0.02437872812151909,0.08617714792490005,0.04202389344573021,0.09132441878318787,0.021640626713633537,0.03752071037888527,0.23089435696601868,0.08601885288953781,,,,,,
01I5pFCvJrrGuY3A-KoNIA,0.02308778092265129,0.019095242023468018,0.3380182981491089,0.05622436851263046,0.30562546849250793,0.22277331352233887,0.023755952715873718,,,,,,,,,,,,,
04kZ5CSh6oKhI5huU5bLdg,0.10358478128910065,0.13600380718708038,0.06284970045089722,0.27372944355010986,0.042102500796318054,0.017000682651996613,0.014888412319123745,0.17838247120380402,0.12374593317508698,0.01260381005704403,,,,,,,,,,
09E4gjiUN_nSqaTprCLD9A,0.13985665142536163,0.08822979032993317,0.020574811846017838,0.159409299492836,0.17992299795150757,0.40555575489997864,,,,,,,,,,,,,,
09pf_DnQV5Y5y2reoIPXlw,0.15279485285282135,0.04100935161113739,0.07789451628923416,0.025558648630976677,0.11093565076589584,0.011199611239135265,0.15942469239234924,0.147241473197937,0.2511935532093048,0.02080923318862915,,,,,,,,,,
0AoLth4u_V4mOx8Az_AIYQ,0.03207898139953613,0.08076745271682739,0.04650500416755676,0.030818238854408264,0.030795592814683914,0.33914247155189514,0.21668864786624908,0.15201616287231445,0.05851222202181816,,,,,,,,,,,
0DnaXWgViDVmll2w1g3Kig,0.014267615042626858,0.12254074215888977,0.026958301663398743,0.20662175118923187,0.01729530841112137,0.02057441882789135,0.22192297875881195,0.20634905993938446,0.15641887485980988,,,,,,,,,,,
0EcCWB9_VxTOoAh_1Wr_RQ,0.07249592989683151,0.30255165696144104,0.014776690863072872,0.15744632482528687,0.010057277046144009,0.16497336328029633,0.021445343270897865,0.021783016622066498,0.13080266118049622,0.052061501890420914,0.03270130231976509,,,,,,,,,
0EyRe-VkW8gYxxZ7NCQXeQ,0.709704577922821,0.2120126187801361,,,,,,,,,,,,,,,,,,
